Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_SIGNAL,SMA20,SMA50,ATR,Returns,Volatility,BB_Upper,BB_Lower,BB_Middle
2020-03-16,58.47035217285156,62.54282496971143,57.9368487366503,58.40758489593045,322423600,36.86181105638205,-3.1881040693599516,-2.2372318045207296,69.6440643310547,73.45611862182618,4.227583215914271,-0.12864708245909928,0.06163878995868039,80.0140999804347,59.27402868167469,69.6440643310547
2020-03-17,61.04128646850586,62.1879493594709,57.550590391518064,59.74977632698614,324056000,40.40949770943823,-3.386551320558212,-2.467095707728226,68.84574222564697,73.24433143615722,4.256852912488454,0.043969878752466496,0.06290481493445592,79.28342462163663,58.40805982965732,68.84574222564697
2020-03-18,59.547000885009766,60.35087498179023,57.24159672400037,57.8813182089224,300233600,39.03655648255977,-3.6226390274960494,-2.6982043716817907,67.91694221496581,72.99124313354493,4.224198400489671,-0.024479916298406734,0.06272068971799427,78.19188005540667,57.64200437452496,67.91694221496581
2020-03-19,59.09075546264648,61.03646731467495,58.56691024737155,59.72081881991735,271857200,38.605271140614,-3.8027200392455995,-2.9191075051945528,67.00540447235107,72.73582130432129,4.098866876690652,-0.007661937890782067,0.06272632805877029,77.01249584237597,56.99831310232618,67.00540447235107
2020-03-20,55.33933639526367,60.7926402539027,55.03999474688709,59.67011183513416,401693200,35.1650512891151,-4.199731811213866,-3.175232366398416,65.99380340576172,72.38225082397462,4.216993921713863,-0.06348571850218132,0.06376509447348086,76.41459265897261,55.57301415255084,65.99380340576172
2020-03-23,54.16370391845703,55.16070158535809,51.32479999006741,55.05931255400759,336752800,34.13835301404875,-4.556703376447494,-3.451526568408232,65.1029037475586,71.97414916992187,4.202532670534034,-0.021244065313859806,0.06329736259080886,76.33844185193811,53.86736564317909,65.1029037475586
2020-03-24,59.59769821166992,59.79323446043245,56.56084169108887,57.05813231967632,287531200,42.49562860826301,-4.3509726833520475,-3.631415791396995,64.60561275482178,71.67135597229004,4.304461089922705,0.10032538213032338,0.067830955370365,75.89125716096271,53.319968348680845,64.60561275482178
2020-03-25,59.26939010620117,62.34245572079971,58.97487753279941,60.53192941719469,303602000,42.14764994783997,-4.166393753490141,-3.7384113838156243,64.03674583435058,71.33006164550781,4.237540882642533,-0.005508738010362668,0.06764472989984785,75.19324034979225,52.88025131890892,64.03674583435058
2020-03-26,62.38832473754883,62.44625922344338,59.472169846872056,59.51079529315195,252087200,46.619624557395404,-3.72549645889265,-3.7358283988310297,63.85472736358643,71.07176155090332,4.1617786136853665,0.05262302557456766,0.06739169657547305,74.99406009854226,52.71539462863059,63.85472736358643
2020-03-27,59.8053092956543,61.76791740598874,59.638740277699725,61.0147396032641,204216800,43.61286724100938,-3.5436608193574983,-3.6973948829363237,63.54549026489258,70.76825531005859,4.060907602697062,-0.04140222473933375,0.06800419787442356,74.77357376780364,52.317406761981516,63.54549026489258
2020-03-30,61.512020111083984,61.68341820252802,60.20602640105231,60.529509863529455,167976400,46.08709655140189,-3.2246655288115633,-3.602849012111372,63.0144021987915,70.4800984954834,3.9049934101382524,0.028537780935006474,0.06466708783316148,73.5508575870048,52.4779468105782,63.0144021987915
2020-03-31,61.386497497558594,63.36600556092488,60.833685075362965,61.70273919270683,197002000,45.92747950738932,-2.94800531845069,-3.4718802733792358,62.59158458709717,70.17262077331543,3.8069453440970853,-0.002040619269188526,0.06438341108727104,72.66661653835129,52.51655263584304,62.59158458709717
2020-04-01,58.15652084350586,60.04188167908633,57.72682288768837,59.50596558883749,176218400,41.90555761286906,-2.9553151964861044,-3.36856725800061,61.84528579711914,69.81094757080078,3.7964260059380237,-0.05261705400574768,0.06407402825244088,70.85641958881419,52.834152005424095,61.84528579711914
2020-04-02,59.12695693969727,59.18006600388776,57.18848714731951,58.01891576899804,165934000,43.50627074094941,-2.8499497975699626,-3.2648437659144802,61.266038703918454,69.46324058532714,3.667508352411611,0.01668662571481483,0.06408618690358237,69.36621898250414,53.165858425332765,61.266038703918454
2020-04-03,58.277225494384766,59.31284498948773,57.68820030765842,58.61277624472143,129880000,42.40450231824283,-2.802705343372047,-3.1724160814059936,60.69125671386719,69.09116989135742,3.5215895187985895,-0.014371303535528401,0.06409232720390885,67.87490511492315,53.50760831281123,60.69125671386719
2020-04-06,63.36117935180664,63.51567376682207,60.201208300554335,60.56813898238512,201820400,50.48406797430118,-2.328193222899891,-3.0035715097047735,60.6465970993042,68.82520927429199,3.64422228691564,0.08723740387935486,0.06503030448094557,67.75176185489447,53.541432343713936,60.6465970993042
2020-04-07,62.62730407714844,65.58932954032026,62.52350234713508,65.37206051111131,202887200,49.406635409653994,-1.9884351079967288,-2.800544229363165,60.33385829925537,68.58965492248535,3.6029083516491793,-0.011582411851639218,0.06289800179498868,66.44222534973497,54.22549124877576,60.33385829925537
